prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
kRkX_n12,0.0008,28.0,6,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,7,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,8,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,9,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,10,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,11,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,12,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,13,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,14,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,15,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,16,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,17,17,2,200,0.01,7789.579801407603
kRkX_n12,0.0008,28.0,18,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,19,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,20,17,3,200,0.015,5179.950330009129
kRkX_n12,0.0008,28.0,21,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,22,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,23,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,24,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,25,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,26,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,27,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,28,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,29,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,30,17,3,200,0.015,5179.950330009129
kRkX_n12,0.0008,28.0,31,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,32,17,3,200,0.015,5179.950330009129
kRkX_n12,0.0008,28.0,33,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,34,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,35,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,36,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,37,17,3,200,0.015,5179.950330009129
kRkX_n12,0.0008,28.0,38,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,39,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,40,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,41,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,42,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,43,17,0,200,0.0,inf
kRkX_n12,0.0008,28.0,44,17,1,200,0.005,15618.40198401406
kRkX_n12,0.0008,28.0,45,17,3,200,0.015,5179.950330009129
kRkX_n12,0.0008,28.0,46,17,1,200,0.005,15618.40198401406
