prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
3R3X_n112,0.0002,20.0,41,70324,22,200,0.11,2779055.8875041297
3R3X_n112,0.0002,20.0,42,70324,42,200,0.21,1373879.1031036484
3R3X_n112,0.0002,20.0,43,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,44,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,45,70324,47,200,0.235,1208954.2292851612
3R3X_n112,0.0002,20.0,46,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,47,70324,22,200,0.11,2779055.8875041297
3R3X_n112,0.0002,20.0,48,70324,89,200,0.445,550035.7468386418
3R3X_n112,0.0002,20.0,49,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,50,70324,41,200,0.205,1411662.6180033693
3R3X_n112,0.0002,20.0,51,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,52,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,53,70324,21,200,0.105,2919403.514154006
3R3X_n112,0.0002,20.0,54,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,55,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,56,70324,75,200,0.375,689045.7179642403
3R3X_n112,0.0002,20.0,57,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,58,70324,83,200,0.415,604043.561817368
3R3X_n112,0.0002,20.0,59,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,60,70324,13,200,0.065,4818628.372594001
3R3X_n112,0.0002,20.0,61,70324,19,200,0.095,3244368.867764571
3R3X_n112,0.0002,20.0,62,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,63,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,64,70324,46,200,0.23,1239088.1733120068
3R3X_n112,0.0002,20.0,65,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,66,70324,41,200,0.205,1411662.6180033693
3R3X_n112,0.0002,20.0,67,70324,0,200,0.0,inf
3R3X_n112,0.0002,20.0,68,70324,39,200,0.195,1493013.2625752727
3R3X_n112,0.0002,20.0,69,70324,15,200,0.075,4154022.381474388
3R3X_n112,0.0002,20.0,70,70324,42,200,0.21,1373879.1031036484
3R3X_n112,0.0002,20.0,71,70324,15,200,0.075,4154022.381474388
3R3X_n112,0.0002,20.0,72,70324,35,200,0.175,1683478.722917836
3R3X_n112,0.0002,20.0,73,70324,34,200,0.17,1738070.7416543243
3R3X_n112,0.0002,20.0,74,70324,44,200,0.22,1303438.0439428843
3R3X_n112,0.0002,20.0,75,70324,21,200,0.105,2919403.514154006
3R3X_n112,0.0002,20.0,76,70324,35,200,0.175,1683478.722917836
